book_id,video_id,first_frame,last_frame,num_observations,best_crop_path,best_score,best_quality_crop_path,best_quality_score,status,count_as_book,boundary,segment_ids,mean_shelf_center_x,mean_width,mean_height
000_book_0058,000,30,47,17,crops/000039_010.jpg,0.8956,crops/000033_013.jpg,0.7336,confirmed,1,0,0,2582.1406,84.3529,270.8235
000_book_0059,000,31,48,17,crops/000041_009.jpg,0.8787,crops/000033_014.jpg,0.7212,confirmed,1,0,0,2643.5504,87.3529,269.7059
000_book_0060,000,49,49,1,crops/000049_001.jpg,0.5135,crops/000049_001.jpg,0.0609,boundary,0,1,0,2695.3006,43.0000,177.0000
000_book_0061,000,32,50,19,crops/000039_012.jpg,0.9006,crops/000033_015.jpg,0.7399,confirmed,1,0,0,2705.6091,85.1053,265.6316
000_book_0062,000,33,50,18,crops/000041_011.jpg,0.9025,crops/000040_011.jpg,0.7122,confirmed,1,0,0,2764.7022,87.8889,264.2778
000_book_0063,000,47,48,2,crops/000048_004.jpg,0.8283,crops/000048_004.jpg,0.6196,confirmed,1,0,0,2802.5534,90.5000,242.5000
000_book_0064,000,45,52,7,crops/000046_007.jpg,0.8751,crops/000049_004.jpg,0.6450,confirmed,1,0,0,2829.6830,83.1429,240.4286
000_book_0065,000,35,42,8,crops/000040_012.jpg,0.8824,crops/000040_012.jpg,0.7090,confirmed,1,0,0,2832.4893,94.6250,276.1250
000_book_0066,000,36,53,17,crops/000045_009.jpg,0.8972,crops/000040_013.jpg,0.6822,confirmed,1,0,0,2886.7354,85.5294,256.9412
000_book_0067,000,48,54,7,crops/000049_006.jpg,0.8844,crops/000049_006.jpg,0.6214,confirmed,1,0,0,2933.0905,91.0000,240.1429
000_book_0068,000,44,44,1,crops/000044_009.jpg,0.8587,crops/000044_009.jpg,0.6719,singleton,0,0,0,2948.7461,324.0000,257.0000
000_book_0069,000,45,48,3,crops/000045_011.jpg,0.8753,crops/000048_007.jpg,0.6681,confirmed,1,0,0,3095.1799,28.6667,283.3333
000_book_0070,000,46,46,1,crops/000046_010.jpg,0.7290,crops/000046_010.jpg,0.6024,singleton,0,0,0,3112.2336,17.0000,284.0000
000_book_0071,000,43,57,14,crops/000044_011.jpg,0.8867,crops/000048_009.jpg,0.7612,confirmed,1,0,0,3112.7710,56.7143,277.6429
000_book_0072,000,39,57,18,crops/000043_012.jpg,0.7973,crops/000049_008.jpg,0.8064,confirmed,1,0,0,3118.7628,61.4444,282.0556
000_book_0073,000,46,46,1,crops/000046_011.jpg,0.8944,crops/000046_011.jpg,0.6907,singleton,0,0,0,3129.2336,17.0000,314.0000
000_book_0074,000,49,57,9,crops/000055_002.jpg,0.7818,crops/000049_009.jpg,0.7842,confirmed,1,0,0,3129.3395,66.3333,268.6667
000_book_0075,000,40,58,18,crops/000044_013.jpg,0.8714,crops/000049_010.jpg,0.7902,confirmed,1,0,0,3147.0964,61.7222,302.5556
000_book_0076,000,46,47,2,crops/000047_011.jpg,0.7746,crops/000047_011.jpg,0.6638,confirmed,1,0,0,3148.0219,22.0000,268.5000
000_book_0077,000,40,43,4,crops/000042_012.jpg,0.8617,crops/000040_016.jpg,0.7606,confirmed,1,0,0,3150.0791,64.7500,320.7500
000_book_0078,000,40,58,19,crops/000045_014.jpg,0.8199,crops/000054_006.jpg,0.7059,confirmed,1,0,0,3167.4984,57.6316,265.1053
000_book_0079,000,48,58,11,crops/000058_002.jpg,0.7807,crops/000054_007.jpg,0.7101,confirmed,1,0,0,3187.1685,64.7273,240.2727
000_book_0080,000,40,58,18,crops/000045_015.jpg,0.8749,crops/000054_008.jpg,0.7246,confirmed,1,0,0,3205.6755,60.3889,265.2222
